ID;Address;Longitude;Latitude
HK_0001;Unknown;114.145318;22.286719
HK_0002;Unknown;114.146949;22.286213
HK_0003;Unknown;114.150586;22.284766
HK_0004;Unknown;114.151404;22.284498
HK_0005;Unknown;114.159724;22.284378
HK_0006;Unknown;114.155127;22.279089
HK_0007;Unknown;114.161594;22.279933
HK_0008;Unknown;114.16257;22.279258
HK_0009;Unknown;114.163257;22.2797
HK_0010;Unknown;114.167873;22.277727
HK_0011;Unknown;114.171563;22.275118
HK_0012;Unknown;114.17343;22.274339
HK_0013;Unknown;114.186664;22.26894
HK_0014;Unknown;114.186136;22.277749
HK_0015;Unknown;114.184138;22.279328
HK_0016;Unknown;114.184033;22.279407
HK_0017;Unknown;114.183362;22.281872
HK_0018;Unknown;114.186098;22.282855
HK_0019;Unknown;114.186286;22.27975
HK_0020;Unknown;114.188968;22.278586
HK_0021;Unknown;114.191846;22.278558
HK_0022;Unknown;114.19297;22.284728
HK_0023;Unknown;114.191624;22.284649
HK_0024;Unknown;114.19083;22.285215
HK_0025;Unknown;114.152168;22.287342
HK_0026;Unknown;114.153528;22.2872
HK_0027;Unknown;114.160818;22.286463
HK_0028;Unknown;114.17137;22.309011
HK_0029;Unknown;114.170405;22.310386
HK_0030;Unknown;114.171813;22.319694
HK_0031;Unknown;114.222021;22.243029
HK_0032;Unknown;114.211831;22.218452
HK_0033;Unknown;114.145972;22.287836
HK_0034;Unknown;114.182003;22.282018
HK_0035;Unknown;114.155556;22.285617
HK_0036;Unknown;114.153367;22.282209
HK_0037;Unknown;114.162377;22.331551
HK_0038;Unknown;114.159166;22.303053
HK_0039;Unknown;114.159349;22.279688
HK_0040;Unknown;114.164209;22.269623
HK_0041;Unknown;114.149258;22.272651
HK_0042;Unknown;114.210048;22.218417
HK_0043;Unknown;114.181606;22.280268
HK_0044;Unknown;114.184725;22.280047
HK_0045;Unknown;114.169356;22.293437
HK_0046;Unknown;114.251769;22.229362
HK_0047;Unknown;114.248315;22.246358
HK_0048;Unknown;114.154773;22.281075
HK_0049;Unknown;114.1686773;22.3225719
AIX_0001;Unknown;5.4431901;43.5284808
AIX_0002;Unknown;5.4473823;43.5309314
AIX_0003;Unknown;5.45175;43.5274383
AIX_0004;Unknown;5.4507886;43.527745
AIX_0005;Unknown;5.4473114;43.526749
AIX_0006;Unknown;5.4455919;43.5280797
AIX_0007;Unknown;5.4465409;43.5270593
AIX_0008;Unknown;5.4476311;43.5271812
AIX_0009;Unknown;5.4485538;43.5270567
AIX_0010;Unknown;5.449359;43.5281366
AVI_0001;Unknown;4.8086454;43.9502205
AVI_0002;Unknown;4.8075785;43.9467902
AVI_0003;Unknown;4.8065976;43.9465851
AVI_0004;Unknown;4.8053589;43.9489739
AVI_0005;Unknown;4.8057784;43.9499017
AVI_0006;Unknown;4.8062377;43.9503188
AVI_0007;Unknown;4.8084708;43.9490159
AVI_0008;Unknown;4.8037958;43.9511487
AVI_0009;Unknown;4.8063837;43.9503953
AVI_0010;Unknown;4.8073656;43.9491764
AVI_0011;Unknown;4.8082974;43.9480155
AVI_0012;Unknown;4.8096305;43.9464175
AVI_0013;Unknown;4.8074425;43.9500447
AVI_0014;Unknown;4.8065572;43.949275
AVI_0015;Unknown;4.8061543;43.9485733
AVI_0016;Unknown;4.8063729;43.9472244
AVI_0017;Unknown;4.8054607;43.9428087
AVI_0018;Unknown;4.8057259;43.9451023
AVI_0019;Unknown;4.8109548;43.9470396
AVI_0020;Unknown;4.8115123;43.9492948
AVI_0021;Unknown;4.8105813;43.9512324
AVI_0022;Unknown;4.8079304;43.949691
AVI_0023;Unknown;4.8049884;43.9518071
AVI_0024;Unknown;4.8063859;43.9515838
AVI_0025;Unknown;4.8131622;43.9449415
AVI_0026;Unknown;4.8104465;43.9469814
AVI_0027;Unknown;4.811355;43.9465381
AVI_0028;Unknown;4.8087773;43.9480781
AVI_0029;Unknown;4.8074881;43.9479526
AVI_0030;Unknown;4.8068099;43.9479486
AVI_0031;Unknown;4.8029993;43.9497579
AVI_0032;Unknown;4.8041382;43.94889
AVI_0033;Unknown;4.8074328;43.9441896
AVI_0034;Unknown;4.8080001;43.9443658
AVI_0035;Unknown;4.8073102;43.9455359
AVI_0036;Unknown;4.8038373;43.9519063
AVI_0037;Unknown;4.8088798;43.951618
AVI_0038;Unknown;4.814584;43.9492459
AVI_0039;Unknown;4.8130835;43.9460221
AVI_0040;Unknown;4.8053009;43.9533878
AVI_0041;Unknown;4.8257618;43.9509536
BRL_0001;Unknown;13.4235257;52.5004873
BRL_0002;Unknown;;
BRL_0003;Unknown;;
BRL_0004;Unknown;13.3969672;52.5269624
BRL_0005;Unknown;;
BRL_0006;Unknown;13.4065373;52.5357483
BRL_0007;Unknown;13.4038356;52.52578
BRL_0008;Unknown;;
BRL_0009;Unknown;13.3218298;52.5048781
BRL_0010;Unknown;;
BRL_0011;Unknown;13.42699;52.49928
BRL_0012;Unknown;13.3566992;52.4986938
CAZ_0001;Unknown;5.7045065;43.1852274
CAZ_0002;Unknown;5.7541092;43.1360101
CAZ_0003;Unknown;7.0206276;43.5525971
CAZ_0004;Unknown;7.0172568;43.5517831
CAZ_0005;Unknown;7.0340784;43.5461711
CAZ_0006;Unknown;6.9695213;43.6212586
CAZ_0007;Unknown;6.9848289;43.6081439
CAZ_0008;Unknown;7.1217256;43.6992628
CAZ_0009;Unknown;7.1087912;43.5707378
CAZ_0010;Unknown;7.1223658;43.5545412
CAZ_0011;Unknown;7.1199513;43.5860039
CAZ_0012;Unknown;7.1109862;43.5688465
CAZ_0013;Unknown;7.2736614;43.6966037
CAZ_0014;Unknown;7.2735022;43.6956208
CAZ_0015;Unknown;7.5215161;43.7846675
CAZ_0016;Unknown;7.4223166;43.7376235
CLR_0001;Unknown;3.0792829;45.778613
CLR_0002;Unknown;3.0824698;45.7756398
CLR_0003;Unknown;3.0862304;45.7761086
CLR_0004;Unknown;3.0873252;45.7784163
CLR_0005;Unknown;3.0882075;45.78035
CLR_0006;Unknown;3.0847863;45.7791816
CLR_0007;Unknown;3.0829641;45.7784695
CLR_0008;Unknown;3.086075;45.7770914
CLR_0009;Unknown;3.1013493;45.7772003
CLR_0010;Unknown;3.0869958;45.775745
CLR_0011;Unknown;3.0909966;45.7804555
CLR_0012;Unknown;3.0805827;45.773575
CLR_0013;Unknown;3.0919554;45.773357
CLR_0014;Unknown;3.0987082;45.7889076
CLR_0015;Unknown;3.0839041;45.7692305
CLR_0016;Unknown;3.1131671;45.7909114
CLR_0017;Unknown;3.0955772;45.7750101
CLR_0018;Unknown;3.089343;45.7771837
CLR_0019;Unknown;3.0866354;45.7743815
CLR_0020;Unknown;3.0755743;45.7739084
CLR_0021;Unknown;3.0750348;45.7734899
CLR_0022;Unknown;3.0900358;45.7785517
CLR_0023;Unknown;3.0900159;45.7777613
CLR_0024;Unknown;3.0842009;45.7787126
CLR_0025;Unknown;3.0820117;45.7787158
CLR_0026;Unknown;3.0808912;45.7785849
CLR_0027;Unknown;3.0447276;45.9117634
CLR_0028;Unknown;3.091666;45.779757
CLR_0029;Unknown;3.082031;45.7803853
CLR_0030;Unknown;3.0794785;45.7860976
CLR_0031;Unknown;3.0834567;45.7711466
CLR_0032;Unknown;3.0872098;45.7778589
CLR_0033;Unknown;3.1005826;45.7794356
CLR_0034;Unknown;3.0865811;45.7709435
CLR_0035;Unknown;3.1075488;45.796845
CLR_0036;Unknown;3.0987774;45.7765475
CLR_0037;Unknown;3.0848147;45.7783156
CLR_0038;Unknown;3.0868002;45.7801977
CLR_0039;Unknown;3.0831877;45.7759982
CLR_0040;Unknown;3.1099757;45.891685
DIJ_0001;Unknown;5.0458361;47.3253951
DIJ_0002;Unknown;5.0427036;47.3224154
DIJ_0003;Unknown;5.0395266;47.3242273
DIJ_0004;Unknown;5.0443248;47.3237479
DIJ_0005;Unknown;5.0433902;47.3208897
