,ID,Address,Longitude,Latitude
0,Space Invader PA__0290 & PA_0532, 113 rue Oberkampf,2.37815,48.865889
1,Space Invader PA_0002, 45 rue Quincampoix,2.350494,48.861071
2,Space Invader PA_0003, 14 rue de la Montagne Sainte-GeneviÃƒÂ¨ve,2.348519,48.848851
3,Space Invader PA_0004, 22 rue Monge,2.351085,48.847105
4,Space Invader PA_0005, 25 rue Guisarde,2.33376,48.85181
5,Space Invader PA_0006, 40 rue de Seine,2.336769,48.855063
6,Space Invader PA_0007, 89 quai de Valmy,2.363517,48.873073
7,Space Invader PA_0008 & PA_1083, Impasse Cordon-Boussard,2.397594,48.865787
8,Space Invader PA_0010, 30 rue de Charonne,2.37574,48.85326
9,Space Invader PA_0013, 47 avenue Daumesnil,2.375463,48.847401
10,Space Invader PA_0014, 59 avenue Ledru-Rollin,2.372716,48.848836
11,Space Invader PA_0015, 24 rue de CÃƒÂ®teaux,2.380831,48.848117
12,Space Invader PA_0016, 76 avenue Ledru-Rollin,2.374375,48.84949
13,Space Invader PA_0017, face ÃƒÂ  la rue Voltaire,2.361939,48.815751
14,Space Invader PA_0018, 16 rue Saint-Vincent,2.341277,48.888538
15,Space Invader PA_0019, pont piÃƒÂ©ton de la Grange aux Belles,2.364043,48.873203
16,Space Invader PA_0020, 20 rue Saint-Fiacre,2.345908,48.870718
17,Space Invader PA_0021, 12 rue Saint-Fiacre,2.345564,48.870137
18,Space Invader PA_0022, 68 rue de Turenne,2.364654,48.859843
19,Space Invader PA_0023, 5 impasse Beaubourg,2.35343,48.8622
20,Space Invader PA_0024, 73 avenue des Gobelins,2.354526,48.833385
21,Space Invader PA_0025, 2 rue de la Corderie,2.363456,48.864634
22,Space Invader PA_0027, fontaine des Haudriettes,2.357949,48.861207
23,Space Invader PA_0028, face au 5 rue Keller,2.376619,48.853923
24,Space Invader PA_0029, 21 rue Pastourelle,2.359894,48.862597
25,Space Invader PA_0030, 44 rue Quincampoix,2.350511,48.860959
26,Space Invader PA_0031, 30 rue de Venise,2.35068,48.86125
27,Space Invader PA_0032, 108 rue Vieille du Temple,2.36275,48.86096
28,Space Invader PA_0034, 61 rue Vieille du Temple,2.358503,48.858645
29,Space Invader PA_0035 & PA_0482, 24 rue PavÃƒÂ©e,2.361749,48.857217
30,Space Invader PA_0036, face au 7 boulevard Vincent Auriol,2.373305,48.837191
31,Space Invader PA_0037, 8 rue du Pasteur Wagner,2.369763,48.85557
32,Space Invader PA_0038, 1 passage ThÃƒÂ©riÃƒÂ©,2.374937,48.853203
33,Space Invader PA_0039, 2 rue d'Ãƒâ€°cosse,2.346597,48.848325
34,Space Invader PA_0040, 45 rue de la Montagne Sainte-GeneviÃƒÂ¨ve,2.348168,48.847145
35,Space Invader PA_0041, Porte de la Villette,2.386005,48.89768
36,Space Invader PA_0043, 26 rue de l'Hirondelle,2.34268,48.8537
37,Space Invader PA_0044, 2 rue de l'Ancienne ComÃƒÂ©die,2.338489,48.853573
38,Space Invader PA_0046, statue de Danton,2.339178,48.852267
39,Space Invader PA_0047, 4bis passage de la Main d'Or,2.37796,48.8516
40,Space Invader PA_0048, 10 rue Amelot,2.3693,48.85586
41,Space Invader PA_0049, 117 rue Oberkampf,2.378379,48.865957
42,Space Invader PA_0051, 13 rue de Charonne,2.3744,48.85284
43,Space Invader PA_0053, face au 16 boulevard Vincent Auriol,2.372367,48.836908
44,Space Invader PA_0055, 43 rue du Moulin des PrÃƒÂ©s,2.352881,48.827765
45,Space Invader PA_0056, 10 rue Simonet,2.351604,48.828724
46,Space Invader PA_0057, 34 rue Louise Weiss,2.369748,48.834487
47,Space Invader PA_0058, 14 rue Louise Weiss,2.370642,48.833443
48,Space Invader PA_0059, 1 rue Lacordaire,2.284636,48.844321
49,Space Invader PA_0060, ÃƒÂ©glise Saint-Eustache,2.344486,48.86361
50,Space Invader PA_0061, 2 rue des Petits Carreaux,2.347259,48.866362
51,Space Invader PA_0062 & PA_1078, 99 rue de RÃƒÂ©aumur,2.345456,48.867695
52,Space Invader PA_0063, 74 rue de Charonne,2.379863,48.853421
53,Space Invader PA_0064, devant le MusÃƒÂ©e d'Art Moderne,2.297397,48.864766
54,Space Invader PA_0065, 30 rue de Lappe,2.373914,48.853092
55,Space Invader PA_0066," PA_0067 & PA_0068, 63 rue des Trois FrÃƒÂ¨res",2.33807,48.885639
56,Space Invader PA_0069, 40 rue du Banquier,2.354171,48.834656
