ID;Point;State;Source_date
AIX_0001;10;OK;juillet 2020 (report)
AIX_0002;10;Très dégradé;août 2020 (report)
AIX_0003;10;OK;juillet 2020 (report)
AIX_0004;10;Très dégradé;septembre 2022 (report)
AIX_0005;20;OK;juillet 2020 (report)
AIX_0006;20;OK;juillet 2020 (report)
AIX_0007;20;OK;juillet 2020 (report)
AIX_0008;20;OK;juillet 2020 (report)
AIX_0009;20;OK;juillet 2020 (report)
AIX_0010;20;OK;juillet 2020 (report)
AMS_0001;10;OK;janvier 2023 (report)
AMS_0002;10;OK;janvier 2023 (report)
AMS_0003;20;Un peu dégradé;août 2021 (report)
AMS_0004;10;OK;juin 2020 (Instagram)
AMS_0005;??;Détruit !;juin 2017 (spott)
AMS_0006;10;Un peu dégradé;novembre 2020 (Live FlashInvaders)
AMS_0007;10;Un peu dégradé;novembre 2020 (Live FlashInvaders)
AMS_0008;10;OK;juin 2017 (spott)
AMS_0009;10;OK;novembre 2020 (Live FlashInvaders)
AMS_0010;10;Dégradé;avril 2022 (Live FlashInvaders)
AMS_0011;20;OK;juin 2017 (spott)
AMS_0012;20;OK;juin 2017 (spott)
AMS_0013;20;Dégradé;juin 2020 (report)
AMS_0014;20;OK;janvier 2023 (FlashInvaders)
AMS_0015;??;Détruit !;mai 2018 (report)
AMS_0016;10;OK;janvier 2023 (report)
AMS_0017;20;OK;juin 2019 (report)
AMS_0018;10;Un peu dégradé;juin 2017 (spott)
AMS_0019;20;Un peu dégradé;octobre 2020 (Live FlashInvaders)
AMS_0020;10;Dégradé;septembre 2022 (FlashInvaders)
AMS_0021;10;OK;juin 2019 (report)
AMS_0022;20;OK;janvier 2023 (report)
AMS_0023;20;Un peu dégradé;juin 2020 (report)
AMS_0024;10;OK;octobre 2017 (Instagram)
AMS_0025;10;OK;juin 2019 (report)
AMS_0026;20;Un peu dégradé;avril 2022 (Live FlashInvaders)
ANVR_0001;10;Détruit !;décembre 2017 (report)
ANVR_0002;10;OK;octobre 2017 (report)
ANZR_0001;20;OK;mars 2019 (report)
ANZR_0002;20;OK;août 2021 (report)
ANZR_0003;50;Détruit !;novembre 2021 (report)
ANZR_0004;20;OK;mars 2019 (report)
AVI_0001;10;Détruit !;décembre 2021 (Live FlashInvaders)
AVI_0002;10;OK;novembre 2019 (report)
AVI_0003;10;OK;mars 2021 (report)
AVI_0004;10;OK;septembre 2019 (spott)
AVI_0005;10;Un peu dégradé;septembre 2019 (spott)
AVI_0006;10;OK;novembre 2019 (report)
AVI_0007;10;OK;septembre 2019 (spott)
AVI_0008;10;OK;septembre 2019 (spott)
AVI_0009;10;OK;septembre 2019 (spott)
AVI_0010;10;OK;septembre 2019 (spott)
AVI_0011;10;Un peu dégradé;septembre 2019 (spott)
AVI_0012;20;OK;septembre 2019 (spott)
AVI_0013;10;OK;novembre 2019 (report)
AVI_0014;10;OK;septembre 2019 (spott)
AVI_0015;10;OK;septembre 2019 (spott)
AVI_0016;10;OK;septembre 2019 (spott)
AVI_0017;10;OK;novembre 2019 (report)
AVI_0018;10;OK;septembre 2019 (spott)
AVI_0019;10;OK;septembre 2019 (spott)
AVI_0020;10;OK;septembre 2019 (spott)
AVI_0021;10;OK;septembre 2019 (spott)
AVI_0022;10;OK;novembre 2019 (report)
AVI_0023;10;OK;septembre 2019 (spott)
AVI_0024;10;OK;septembre 2019 (spott)
AVI_0025;30;OK;septembre 2019 (spott)
AVI_0026;30;OK;septembre 2019 (spott)
AVI_0027;30;OK;septembre 2019 (spott)
AVI_0028;10;Détruit !;avril 2022 (report)
AVI_0029;50;Détruit !;mai 2021 (report)
AVI_0030;10;Détruit !;avril 2022 (report)
AVI_0031;10;Détruit !;octobre 2022 (report)
AVI_0032;10;OK;septembre 2021 (Live FlashInvaders)
AVI_0033;30;OK;novembre 2019 (report)
AVI_0034;30;OK;septembre 2019 (spott)
AVI_0035;30;OK;novembre 2019 (report)
AVI_0036;10;OK;septembre 2019 (spott)
AVI_0037;10;OK;septembre 2019 (spott)
AVI_0038;10;Détruit !;mars 2019 (report)
AVI_0039;30;Un peu dégradé;septembre 2019 (spott)
AVI_0040;30;OK;septembre 2019 (spott)
AVI_0041;100;Détruit !;
BBO_0001;20;OK;août 2018 (report)
BBO_0002;10;OK;juillet 2019 (report)
BBO_0003;50;Détruit !;août 2017 (report)
BBO_0004;50;Un peu dégradé;juillet 2021 (Live FlashInvaders)
BBO_0005;50;Détruit !;août 2017 (report)
BBO_0006;20;OK;août 2018 (report)
BBO_0007;20;OK;juillet 2021 (report)
BBO_0008;10;Dégradé;août 2018 (report)
BBO_0009;20;Un peu dégradé;août 2018 (report)
BBO_0010;10;OK;août 2018 (report)
BBO_0011;10;Un peu dégradé;août 2018 (report)
BBO_0012;20;OK;août 2018 (report)
BBO_0013;50;Détruit !;août 2017 (report)
BBO_0014;50;OK;mars 2019 (report)
BBO_0015;20;OK;août 2018 (report)
BBO_0016;50;Détruit !;juillet 2020 (report)
BBO_0017;10;Détruit !;juillet 2020 (report)
BBO_0018;10;Détruit !;juillet 2020 (report)
BBO_0019;10;Détruit !;juillet 2020 (report)
BBO_0020;20;OK;août 2018 (report)
BBO_0021;20;OK;août 2018 (report)
BBO_0022;50;OK;avril 2019 (report)
BBO_0023;50;Détruit !;août 2017 (report)
BBO_0024;50;Détruit !;août 2017 (report)
BBO_0025;50;Détruit !;août 2017 (report)
BBO_0026;50;Détruit !;août 2017 (report)
BBO_0027;10;OK;août 2018 (report)
BBO_0028;10;OK;août 2018 (report)
BBO_0029;10;OK;août 2018 (report)
BBO_0030;50;Détruit !;août 2022 (report)
BBO_0031;20;OK;août 2018 (report)
BBO_0032;10;OK;août 2018 (report)
BBO_0033;30;Dégradé;août 2018 (report)
BBO_0034;10;OK;août 2018 (report)
BBO_0035;20;OK;août 2018 (report)
BBO_0036;20;OK;août 2018 (report)
BBO_0037;30;OK;août 2018 (report)
BBO_0038;30;Détruit !;février 2023 (report)
BBO_0039;50;OK;avril 2019 (report)
BBO_0040;30;OK;août 2018 (report)
BGK_0001;30;OK;novembre 2019 (report)
BGK_0002;20;Détruit !;novembre 2022 (report)
BGK_0003;10;OK;novembre 2022 (FlashInvaders)
BGK_0004;20;Détruit !;août 2022 (report)
BGK_0005;??;Détruit !;janvier 2019 (report)
BGK_0006;10;Détruit !;mars 2006
BGK_0007;10;Détruit !;novembre 2022 (report)
BGK_0008;??;Inconnu;
BGK_0009;20;Détruit !;janvier 2019 (report)
BGK_0010;10;OK;novembre 2022 (report)
BGK_0011;??;Détruit !;janvier 2019 (report)
BGK_0012;??;Inconnu;
BGK_0013;??;Inconnu;
BGK_0014;20;Détruit !;janvier 2019 (report)
BGK_0015;20;Détruit !;août 2020 (StreetView)
BGK_0016;10;OK;avril 2022 (report)
BGK_0017;??;Détruit !;janvier 2019 (report)
BGK_0018;20;Détruit !;janvier 2019 (report)
BGK_0019;10;Détruit !;septembre 2020 (StreetView)
BGK_0020;10;OK;août 2020 (StreetView)
BGK_0021;10;OK;novembre 2022 (FlashInvaders)
BGK_0022;??;Inconnu;
BGK_0023;10;Dégradé;mars 2023 (FlashInvaders)
BGK_0024;30;Détruit !;septembre 2020 (StreetView)
BGK_0025;10;OK;novembre 2022 (FlashInvaders)
BGK_0026;10;Détruit !;septembre 2020 (StreetView)
BGK_0027;30;Détruit !;septembre 2020 (StreetView)
BGK_0028;10;Détruit !;janvier 2019 (report)
BGK_0029;10;Détruit !;novembre 2022 (report)
BGK_0030;10;Détruit !;novembre 2022 (report)
BGK_0031;10;OK;janvier 2022 (report)
BGK_0032;10;Détruit !;novembre 2022 (report)
BGK_0033;10;OK;novembre 2022 (FlashInvaders)
BGK_0034;10;Détruit !;août 2020 (report)
BGK_0035;30;Détruit !;septembre 2020 (StreetView)
BGK_0036;20;Dégradé;novembre 2022 (FlashInvaders)
BGK_0037;10;Détruit !;novembre 2022 (report)
BGK_0038;30;Détruit !;novembre 2022 (report)
BGK_0039;10;Dégradé;février 2023 (FlashInvaders)
BGK_0040;10;Détruit !;janvier 2019 (report)
BGK_0041;30;Dégradé;novembre 2022 (FlashInvaders)
BGK_0042;10;Détruit !;novembre 2022 (report)
BGK_0043;??;Détruit !;septembre 2020 (StreetView)
BGK_0044;20;Détruit !;janvier 2022 (report)
BGK_0045;10;OK;novembre 2022 (FlashInvaders)
BGK_0046;??;Inconnu;
BGK_0047;50;Détruit !;novembre 2022 (report)
BGK_0048;50;Détruit !;janvier 2019 (report)
BGK_0049;30;Détruit !;janvier 2019 (report)
BGK_0050;10;Détruit !;octobre 2019 (report)
BGK_0051;50;Détruit !;août 2020 (StreetView)
BRC_0001;20;Détruit !;novembre 2022 (report)
BRC_0002;20;Détruit !;novembre 2022 (report)
BRC_0003;20;Détruit !;octobre 2022 (report)
BRC_0004;20;Détruit !;octobre 2022 (report)
BRC_0005;10;Détruit !;octobre 2022 (report)
BRC_0006;20;Détruit !;octobre 2022 (report)
BRC_0007;10;Détruit !;octobre 2022 (report)
BRC_0008;10;Détruit !;septembre 2022 (report)
BRC_0009;10;Détruit !;novembre 2022 (report)
BRC_0010;10;Dégradé;octobre 2022 (report)
BRC_0011;20;Détruit !;octobre 2022 (report)
BRC_0012;30;Détruit !;octobre 2022 (report)
BRC_0013;10;Détruit !;octobre 2022 (report)
BRC_0014;20;Détruit !;novembre 2022 (report)
BRC_0015;10;Détruit !;octobre 2022 (report)
BRC_0016;20;Détruit !;septembre 2022 (Instagram)
BRC_0017;30;Détruit !;octobre 2022 (report)
BRL_0001;20;OK;août 2018 (spott)
BRL_0002;20;Détruit !;septembre 2020 (report)
BRL_0003;20;Détruit !;août 2018 (spott)
BRL_0004;10;OK;août 2019 (report)
BRL_0005;20;Détruit !;mars 2019 (Instagram)
BRL_0006;10;OK;août 2019 (report)
BRL_0007;20;OK;août 2018 (spott)
BRL_0008;20;Inconnu;
BRL_0009;10;OK;novembre 2021 (report)
BRL_0010;20;Détruit !;août 2018 (spott)
BRL_0011;30;OK;juillet 2019 (report)
BRL_0012;100;OK;août 2018 (spott)
BRN_0001;10;OK;mars 2020 (Instagram)
BRN_0002;10;OK;octobre 2018 (report)
BRN_0003;10;Un peu dégradé;septembre 2016 (spott)
BRN_0004;10;Dégradé;décembre 2022 (report)
BRN_0005;10;OK;février 2018 (Instagram)
BRN_0006;10;OK;septembre 2016 (spott)
BRN_0007;10;OK;octobre 2018 (flash)
BRN_0008;10;Détruit !;septembre 2016 (spott)
BRN_0009;10;Un peu dégradé;décembre 2022 (report)
BRN_0010;50;OK;septembre 2019 (report)
BRN_0011;10;OK;octobre 2018 (flash)
BRN_0012;30;OK;juillet 2021 (Live FlashInvaders)
BRN_0013;10;Très dégradé;janvier 2022 (report)
BRN_0014;10;OK;février 2018 (Instagram)
BRN_0015;20;Détruit !;février 2022 (report)
BRN_0016;10;Détruit !;juillet 2020 (report)
BRN_0017;10;OK;octobre 2021 (Instagram)
BRN_0018;10;OK;octobre 2018 (flash)
BRN_0019;10;Détruit !;juin 2020 (report)
BRN_0020;10;Détruit !;octobre 2019 (report)
BRN_0021;10;Dégradé;septembre 2016 (spott)
BRN_0022;100;Détruit !;
BRN_0023;10;Détruit !;octobre 2019 (report)
BRN_0024;10;Dégradé;janvier 2021 (report)
BRN_0025;10;OK;septembre 2016 (spott)
BRN_0026;10;Un peu dégradé;août 2021 (report)
BRN_0027;30;OK;juillet 2021 (Live FlashInvaders)
BRN_0028;10;OK;octobre 2018 (flash)
BRN_0029;10;Détruit !;octobre 2019 (report)
BSL_0001;50;Détruit !;septembre 2016 (spott)
BSL_0002;20;Un peu dégradé;avril 2021 (report)
BSL_0003;20;OK;septembre 2016 (spott)
BSL_0004;20;OK;septembre 2016 (spott)
BSL_0005;50;OK;septembre 2016 (spott)
BSL_0006;30;OK;octobre 2018 (report)
BSL_0007;20;OK;septembre 2016 (spott)
BSL_0008;30;OK;septembre 2016 (spott)
BSL_0009;50;OK;juillet 2020 (Instagram)
BSL_0010;30;OK;septembre 2016 (spott)
BSL_0011;50;OK;septembre 2016 (spott)
BSL_0012;30;OK;novembre 2018 (report)
BSL_0013;30;OK;septembre 2016 (spott)
BSL_0014;30;OK;septembre 2016 (spott)
BSL_0015;30;OK;septembre 2016 (spott)
BSL_0016;20;Dégradé;décembre 2022 (FlashInvader)
BSL_0017;30;OK;septembre 2016 (spott)
BSL_0018;20;OK;septembre 2016 (spott)
BSL_0019;30;OK;septembre 2016 (spott)
BSL_0020;20;OK;septembre 2016 (spott)
BSL_0021;20;Très dégradé;février 2022 (report)
BSL_0022;30;OK;août 2019 (Instagram)
BSL_0023;50;OK;septembre 2016 (spott)
BSL_0024;30;Un peu dégradé;juillet 2021 (report)
BSL_0025;100;OK;juin 2019 (Instagram)
BT_0001;100;Détruit !;mai 2018 (report)
BT_0002;40;Détruit !;mai 2018 (report)
BT_0003;30;Détruit !;mai 2018 (report)
BT_0004;30;Détruit !;mai 2018 (report)
BT_0005;30;Détruit !;mai 2018 (report)
BT_0006;40;Détruit !;mai 2018 (report)
BT_0007;40;Détruit !;mai 2018 (report)
BT_0008;40;Détruit !;mai 2018 (report)
BT_0009;50;Détruit !;mai 2018 (report)
BT_0010;50;Détruit !;mai 2018 (report)
BT_0011;40;Détruit !;mai 2018 (flash)
BTA_0001;20;OK;août 2020 (report)
BTA_0002;10;OK;septembre 2020 (Live FlashInvaders)
BTA_0003;10;Un peu dégradé;mai 2021 (report)
BTA_0004;10;Détruit !;avril 2022 (report)
BTA_0005;10;OK;septembre 2020 (report)
BTA_0006;10;OK;septembre 2020 (report)
BTA_0007;10;OK;septembre 2020 (report)
BTA_0008;10;Dégradé;janvier 2021 (report)
BTA_0009;20;Un peu dégradé;septembre 2020 (Live FlashInvaders)
BTA_0010;20;OK;août 2020 (report)
BTA_0011;10;OK;septembre 2020 (report)
BTA_0012;20;OK;août 2020 (report)
BTA_0013;30;OK;septembre 2020 (Live FlashInvaders)
BTA_0014;20;OK;septembre 2020 (report)
BTA_0015;10;OK;août 2020 (report)
BTA_0016;10;Un peu dégradé;août 2020 (report)
BTA_0017;10;OK;août 2020 (report)
BTA_0018;10;OK;septembre 2020 (report)
BTA_0019;20;Détruit !;janvier 2021 (report)
BTA_0020;10;OK;août 2020 (report)
BTA_0021;10;Un peu dégradé;mai 2021 (report)
BTA_0022;10;Dégradé;août 2022 (FlashInvaders)
BTA_0023;10;Détruit !;juin 2015 (spott)
BTA_0024;10;Dégradé;août 2020 (report)
BTA_0025;10;Détruit !;mai 2022 (report)
BTA_0026;10;OK;septembre 2020 (report)
BTA_0027;10;Dégradé;janvier 2021 (report)
BTA_0028;30;Un peu dégradé;juin 2021 (report)
BTA_0029;30;OK;août 2020 (report)
BTA_0030;20;OK;septembre 2020 (report)
BTA_0031;30;OK;septembre 2020 (report)
BTA_0032;10;OK;août 2020 (report)
BTA_0033;30;Un peu dégradé;juin 2019 (report)
BTA_0034;30;OK;août 2020 (report)
BXL_0001;30;Détruit !;mai 2021 (report)
BXL_0002;50;OK;mai 2017 (spott)
BXL_0003;50;OK;octobre 2017 (report)
BXL_0004;20;OK;juin 2020 (Instagram)
BXL_0005;50;Détruit !;octobre 2020 (report)
BXL_0006;30;OK;août 2019 (report)
BXL_0007;20;Détruit !;mars 2020 (report)
BXL_0008;30;OK;juin 2020 (Instagram)
BXL_0009;50;Détruit !;mai 2017 (spott)
BXL_0010;20;OK;octobre 2017 (report)
BXL_0011;50;OK;octobre 2017 (report)
BXL_0012;20;OK;août 2019 (report)
BXL_0013;30;Détruit !;octobre 2020 (report)
BXL_0014;30;Détruit !;octobre 2020 (report)
BXL_0015;20;OK;août 2019 (report)
BXL_0016;30;OK;août 2019 (report)
BXL_0017;20;OK;mai 2017 (spott)
BXL_0018;20;OK;juin 2020 (Instagram)
BXL_0019;20;OK;juin 2020 (Instagram)
BXL_0020;20;OK;mai 2017 (spott)
BXL_0021;30;OK;août 2019 (report)
BXL_0022;50;Détruit !;mai 2017 (spott)
BXL_0023;20;Un peu dégradé;août 2022 (report)
BXL_0024;30;OK;juin 2020 (Instagram)
BXL_0025;20;OK;janvier 2018 (report)
BXL_0026;20;Détruit !;mai 2017 (spott)
BXL_0027;20;OK;octobre 2017 (report)
BXL_0028;20;OK;mai 2017 (spott)
BXL_0029;30;OK;mai 2017 (spott)
BXL_0030;30;OK;mai 2017 (spott)
BXL_0031;20;OK;juin 2020 (Instagram)
BXL_0032;20;OK;octobre 2017 (report)
BXL_0033;30;Détruit !;mai 2017 (spott)
BXL_0034;20;OK;août 2022 (report)
BXL_0035;20;Détruit !;août 2020 (Instagram)
BXL_0036;20;Un peu dégradé;juin 2021 (report)
BXL_0037;20;OK;juillet 2020 (Instagram)
BXL_0038;20;Détruit !;juin 2020 (report)
BXL_0039;50;Détruit !;mai 2017 (spott)
BXL_0040;30;OK;mai 2017 (spott)
BXL_0041;50;OK;août 2022 (report)
BXL_0042;30;OK;août 2022 (report)
CAPF_0001;40;OK;novembre 2018 (report)
CAPF_0002;20;OK;juillet 2019 (report)
CAPF_0003;20;OK;juillet 2019 (report)
CAPF_0004;20;OK;septembre 2021 (Live FlashInvaders)
CAPF_0005;20;Un peu dégradé;octobre 2020 (report)
CAPF_0006;40;OK;février 2018 (spott)
CAPF_0007;30;OK;février 2018 (spott)
CAPF_0008;50;OK;novembre 2018 (report)
CAPF_0009;30;OK;février 2018 (spott)
CAPF_0010;40;Dégradé;août 2020 (report)
CAZ_0001;20;OK;juin 2020 (report)
CAZ_0002;20;OK;septembre 2019 (spott)
CAZ_0003;50;OK;septembre 2019 (spott)
