ID,Address,Longitude,Latitude,Point,State,Source_date,Color
PA_0001,,,,10,Détruit !,septembre 2018 (spott),black
PA_0002, 45 rue Quincampoix,2.350494,48.861071,10,OK,juin 2019 (spott),pink
PA_0003, 14 rue de la Montagne Sainte-GeneviÃƒÂ¨ve,2.348519,48.848851,10,OK,octobre 2019 (report),pink
PA_0004, 22 rue Monge,2.351085,48.847105,10,Dégradé,mai 2020,pink
PA_0005, 25 rue Guisarde,2.33376,48.85181,10,Dégradé,novembre 2020 (Live FlashInvaders),orange
PA_0006, 40 rue de Seine,2.336769,48.855063,10,Très dégradé,juillet 2022,red
PA_0007, 89 quai de Valmy,2.363517,48.873073,10,OK,juin 2018 (spott),pink
PA_0008, Impasse Cordon-Boussard,2.397594,48.865787,10,OK,septembre 2018 (spott),pink
PA_0009,,,,10,Détruit !,avril 2015 (spott),black
PA_0010, 30 rue de Charonne,2.37574,48.85326,10,OK,décembre 2018 (spott),pink
PA_0011,,,,10,Détruit !,juillet 2015 (spott),black
PA_0012,,,,10,Détruit !,juillet 2015 (spott),black
PA_0013, 47 avenue Daumesnil,2.375463,48.847401,10,OK,octobre 2019 (report),pink
PA_0014, 59 avenue Ledru-Rollin,2.372716,48.848836,10,Un peu dégradé,avril 2022 (report),pink
PA_0015, 24 rue de CÃƒÂ®teaux,2.380831,48.848117,10,OK,septembre 2019 (report),pink
PA_0016, 76 avenue Ledru-Rollin,2.374375,48.84949,10,OK,juillet 2021 (Instagram),pink
PA_0017, face ÃƒÂ  la rue Voltaire,2.361939,48.815751,10,Dégradé,février 2021 (report),orange
PA_0018, 16 rue Saint-Vincent,2.341277,48.888538,10,OK,décembre 2018 (spott),blue
PA_0019, pont piÃƒÂ©ton de la Grange aux Belles,2.364043,48.873203,10,Détruit !,octobre 2022,black
PA_0020, 20 rue Saint-Fiacre,2.345908,48.870718,10,Détruit !,août 2018 (report),black
PA_0021, 12 rue Saint-Fiacre,2.345564,48.870137,10,OK,août 2019 (spott),blue
PA_0022, 68 rue de Turenne,2.364654,48.859843,10,OK,avril 2015 (spott),blue
PA_0023, 5 impasse Beaubourg,2.35343,48.8622,10,OK,juin 2021 (report),blue
PA_0024, 73 avenue des Gobelins,2.354526,48.833385,10,OK,mai 2019 (report),blue
PA_0025, 2 rue de la Corderie,2.363456,48.864634,10,OK,décembre 2018 (spott),pink
PA_0026,,,,10,Détruit !,septembre 2022,black
PA_0027, fontaine des Haudriettes,2.357949,48.861207,10,Détruit !,avril 2019 (report),black
PA_0028, face au 5 rue Keller,2.376619,48.853923,10,OK,juin 2018 (report),pink
PA_0029, 21 rue Pastourelle,2.359894,48.862597,20,OK,juin 2018 (spott),blue
PA_0030, 44 rue Quincampoix,2.350511,48.860959,10,Dégradé,mai 2022,pink
PA_0031, 30 rue de Venise,2.35068,48.86125,10,OK,mai 2020,pink
PA_0032, 108 rue Vieille du Temple,2.36275,48.86096,10,Un peu dégradé,avril 2015 (spott),yellow
PA_0033,,,,10,Détruit !,juillet 2015 (spott),black
PA_0034, 61 rue Vieille du Temple,2.358503,48.858645,10,OK,octobre 2021 (report),blue
PA_0035, 24 rue PavÃƒÂ©e,2.361749,48.857217,30,OK,mai 2020 (report),pink
PA_0036, face au 7 boulevard Vincent Auriol,2.373305,48.837191,10,Un peu dégradé,septembre 2017 (report),pink
PA_0037, 8 rue du Pasteur Wagner,2.369763,48.85557,10,OK,septembre 2018 (spott),pink
PA_0038, 1 passage ThÃƒÂ©riÃƒÂ©,2.374937,48.853203,10,Détruit !,septembre 2022,black
PA_0039, 2 rue d'Ãƒâ€°cosse,2.346597,48.848325,10,Détruit !,mai 2020,black
PA_0040, 45 rue de la Montagne Sainte-GeneviÃƒÂ¨ve,2.348168,48.847145,10,Dégradé,octobre 2020 (report),orange
PA_0041, Porte de la Villette,2.386005,48.89768,10,OK,juillet 2016 (spott),blue
PA_0042,,2.3370487,48.8538165,10,OK,octobre 2021 (report),blue
PA_0043, 26 rue de l'Hirondelle,2.34268,48.8537,10,OK,août 2019 (report),pink
PA_0044, 2 rue de l'Ancienne ComÃƒÂ©die,2.338489,48.853573,10,OK,septembre 2019 (report),blue
PA_0045,,,,10,Détruit !,juillet 2022,black
PA_0046, statue de Danton,2.339178,48.852267,10,Détruit !,avril 2022,black
