Paris,Versailles,Clermont-Ferrand,Lyon,Dijon,Faro,Ravenna,Grenoble
850,36,1,1,1,1,1,39
1351,14,2,2,2,4,2,40
629,21,3,3,3,,3,46
347,6,4,4,4,,4,18
1178,5,5,5,5,,5,41
570,8,6,6,6,,6,37
1153,16,7,7,,,7,50
1166,37,8,11,,,8,53
1246,19,9,12,,,9,42
556,9,10,13,,,11,14
1344,11,11,14,,,13,12
523,34,13,15,,,15,54
340,42,14,16,,,17,35
71,40,15,17,,,18,56
149,41,16,18,,,19,57
710,7,18,19,,,20,21
1258,17,19,20,,,21,20
211,15,20,21,,,22,22
128,22,21,22,,,23,16
372,12,22,23,,,24,15
175,18,23,24,,,27,27
1366,2,24,26,,,28,31
961,1,25,27,,,31,5
15,4,26,28,,,32,36
1024,13,27,29,,,33,7
1336,35,28,30,,,34,24
944,10,29,31,,,35,43
1054,,30,32,,,36,45
415,,31,33,,,37,2
369,,32,34,,,39,3
323,,33,35,,,40,11
701,,34,36,,,,4
702,,35,37,,,,1
886,,36,38,,,,8
63,,38,39,,,,9
1185,,39,40,,,,33
85,,40,41,,,,13
47,,,43,,,,51
133,,,44,,,,44
703,,,45,,,,32
615,,,46,,,,19
452,,,47,,,,34
91,,,,,,,6
654,,,,,,,26
544,,,,,,,30
28,,,,,,,47
277,,,,,,,28
10,,,,,,,29
51,,,,,,,17
65,,,,,,,49
836,,,,,,,23
117,,,,,,,48
510,,,,,,,52
1461,,,,,,,25
1112,,,,,,,
1404,,,,,,,
957,,,,,,,
924,,,,,,,
1130,,,,,,,
218,,,,,,,
240,,,,,,,
243,,,,,,,
1129,,,,,,,
13,,,,,,,
223,,,,,,,
16,,,,,,,
14,,,,,,,
812,,,,,,,
981,,,,,,,
1227,,,,,,,
604,,,,,,,
1420,,,,,,,
1241,,,,,,,
529,,,,,,,
528,,,,,,,
1086,,,,,,,
155,,,,,,,
1441,,,,,,,
1200,,,,,,,
1087,,,,,,,
1380,,,,,,,
874,,,,,,,
873,,,,,,,
979,,,,,,,
816,,,,,,,
106,,,,,,,
707,,,,,,,
588,,,,,,,
480,,,,,,,
681,,,,,,,
682,,,,,,,
35,,,,,,,
482,,,,,,,
637,,,,,,,
711,,,,,,,
48,,,,,,,
37,,,,,,,
879,,,,,,,
1425,,,,,,,
698,,,,,,,
1222,,,,,,,
334,,,,,,,
398,,,,,,,
571,,,,,,,
1346,,,,,,,
1135,,,,,,,
1362,,,,,,,
1356,,,,,,,
515,,,,,,,
326,,,,,,,
127,,,,,,,
1070,,,,,,,
1142,,,,,,,
1242,,,,,,,
1121,,,,,,,
1183,,,,,,,
1224,,,,,,,
433,,,,,,,
1214,,,,,,,
241,,,,,,,
740,,,,,,,
559,,,,,,,
1174,,,,,,,
958,,,,,,,
1136,,,,,,,
1132,,,,,,,
923,,,,,,,
1261,,,,,,,
97,,,,,,,
536,,,,,,,
1056,,,,,,,
81,,,,,,,
1277,,,,,,,
1452,,,,,,,
945,,,,,,,
683,,,,,,,
1206,,,,,,,
370,,,,,,,
1154,,,,,,,
1419,,,,,,,
955,,,,,,,
83,,,,,,,
25,,,,,,,
1383,,,,,,,
1093,,,,,,,
1173,,,,,,,
220,,,,,,,
36,,,,,,,
922,,,,,,,
87,,,,,,,
921,,,,,,,
123,,,,,,,
980,,,,,,,
1469,,,,,,,
1019,,,,,,,
7,,,,,,,
454,,,,,,,
447,,,,,,,
870,,,,,,,
869,,,,,,,
813,,,,,,,
430,,,,,,,
448,,,,,,,
1147,,,,,,,
120,,,,,,,
250,,,,,,,
377,,,,,,,
245,,,,,,,
1201,,,,,,,
1047,,,,,,,
1163,,,,,,,
1212,,,,,,,
549,,,,,,,
1207,,,,,,,
1067,,,,,,,
1328,,,,,,,
159,,,,,,,
226,,,,,,,
1327,,,,,,,
1321,,,,,,,
1326,,,,,,,
867,,,,,,,
474,,,,,,,
1347,,,,,,,
1211,,,,,,,
566,,,,,,,
1115,,,,,,,
1243,,,,,,,
332,,,,,,,
1009,,,,,,,
960,,,,,,,
1039,,,,,,,
1050,,,,,,,
165,,,,,,,
856,,,,,,,
170,,,,,,,
169,,,,,,,
857,,,,,,,
639,,,,,,,
855,,,,,,,
1077,,,,,,,
66,,,,,,,
68,,,,,,,
641,,,,,,,
642,,,,,,,
160,,,,,,,
605,,,,,,,
171,,,,,,,
644,,,,,,,
286,,,,,,,
988,,,,,,,
348,,,,,,,
854,,,,,,,
609,,,,,,,
990,,,,,,,
1105,,,,,,,
1288,,,,,,,
335,,,,,,,
872,,,,,,,
633,,,,,,,
741,,,,,,,
499,,,,,,,
1367,,,,,,,
1148,,,,,,,
194,,,,,,,
738,,,,,,,
670,,,,,,,
602,,,,,,,
1139,,,,,,,
489,,,,,,,
1001,,,,,,,
719,,,,,,,
999,,,,,,,
1301,,,,,,,
1256,,,,,,,
1058,,,,,,,
1140,,,,,,,
1269,,,,,,,
1008,,,,,,,
437,,,,,,,
1157,,,,,,,
1170,,,,,,,
450,,,,,,,
507,,,,,,,
198,,,,,,,
991,,,,,,,
373,,,,,,,
532,,,,,,,
671,,,,,,,
443,,,,,,,
708,,,,,,,
731,,,,,,,
530,,,,,,,
577,,,,,,,
742,,,,,,,
573,,,,,,,
432,,,,,,,
351,,,,,,,
471,,,,,,,
291,,,,,,,
307,,,,,,,
1069,,,,,,,
1099,,,,,,,
1028,,,,,,,
540,,,,,,,
73,,,,,,,
733,,,,,,,
384,,,,,,,
271,,,,,,,
248,,,,,,,
466,,,,,,,
774,,,,,,,
591,,,,,,,
446,,,,,,,
293,,,,,,,
548,,,,,,,
222,,,,,,,
288,,,,,,,
689,,,,,,,
148,,,,,,,
394,,,,,,,
99,,,,,,,
98,,,,,,,
634,,,,,,,
184,,,,,,,
764,,,,,,,
1107,,,,,,,
1317,,,,,,,
43,,,,,,,
392,,,,,,,
1111,,,,,,,
580,,,,,,,
282,,,,,,,
1172,,,,,,,
612,,,,,,,
145,,,,,,,
331,,,,,,,
525,,,,,,,
587,,,,,,,
1081,,,,,,,
109,,,,,,,
1432,,,,,,,
144,,,,,,,
273,,,,,,,
2,,,,,,,
30,,,,,,,
31,,,,,,,
110,,,,,,,
926,,,,,,,
1100,,,,,,,
1283,,,,,,,
221,,,,,,,
732,,,,,,,
589,,,,,,,
547,,,,,,,
632,,,,,,,
292,,,,,,,
362,,,,,,,
618,,,,,,,
617,,,,,,,
1251,,,,,,,
1182,,,,,,,
663,,,,,,,
996,,,,,,,
664,,,,,,,
429,,,,,,,
475,,,,,,,
1143,,,,,,,
616,,,,,,,
309,,,,,,,
217,,,,,,,
636,,,,,,,
1304,,,,,,,
1305,,,,,,,
4,,,,,,,
113,,,,,,,
1221,,,,,,,
495,,,,,,,
1433,,,,,,,
1384,,,,,,,
502,,,,,,,
122,,,,,,,
1370,,,,,,,
1088,,,,,,,
305,,,,,,,
401,,,,,,,
1273,,,,,,,
187,,,,,,,
1332,,,,,,,
3,,,,,,,
1463,,,,,,,
1464,,,,,,,
1407,,,,,,,
1444,,,,,,,
150,,,,,,,
1360,,,,,,,
1358,,,,,,,
1203,,,,,,,
487,,,,,,,
1359,,,,,,,
853,,,,,,,
275,,,,,,,
445,,,,,,,
568,,,,,,,
1354,,,,,,,
565,,,,,,,
1302,,,,,,,
444,,,,,,,
1090,,,,,,,
1471,,,,,,,
657,,,,,,,
1091,,,,,,,
162,,,,,,,
1270,,,,,,,
1363,,,,,,,
987,,,,,,,
228,,,,,,,
599,,,,,,,
823,,,,,,,
166,,,,,,,
438,,,,,,,
389,,,,,,,
1016,,,,,,,
302,,,,,,,
986,,,,,,,
1010,,,,,,,
1015,,,,,,,
442,,,,,,,
492,,,,,,,
737,,,,,,,
375,,,,,,,
516,,,,,,,
531,,,,,,,
545,,,,,,,
411,,,,,,,
1083,,,,,,,
8,,,,,,,
421,,,,,,,
339,,,,,,,
325,,,,,,,
453,,,,,,,
1375,,,,,,,
